,Name,Elo,Matches
98,Cassidy O'Reilly,1481.480995,1
372,Tatanka,1481.480225,31
503,K. C. James,1481.453074,8
851,The U. K. Kid,1481.348914,1
755,Dos Caras,1481.215378,11
502,Idol Stevens,1481.197347,7
919,King Barrett,1481.186603,62
104,Vince Vicallo,1481.08091,1
667,Kung Fu Naki,1481.047846,8
225,Sheik Shawn Davari,1481.04252,1
260,Grandmaster Sexay,1481.012705,6
232,Phil Babaghanoush,1480.683506,1
562,Mike Sloan,1480.678651,1
283,Ollie John,1480.342002,1
907,Vordell Walker,1480.294331,1
203,Mike Bell,1480.275631,1
252,Kyle McNealy,1480.260358,1
548,Dan Rodimer,1480.234473,1
101,Mark Maraculi,1480.20987,1
461,Adrian Lynch,1480.099975,2
157,Mark Gallagher,1480.038876,1
620,Matt Jackson,1479.998469,2
175,Rene Dupree,1479.989671,115
639,Phil Atlas,1479.973475,2
95,Scotty Cruz,1479.779635,1
119,Gabe Roach,1479.602032,1
491,Amish Roadkill,1479.564076,2
387,Mack Johnson,1479.527523,1
561,Luke Hawx,1479.512645,2
511,Fred Sampson,1479.49067,1
532,Jon Moxley,1479.297885,1
103,Erin Stevens,1479.18724,1
224,Crowbar,1478.950202,2
702,David Hart Smith,1478.914879,95
841,Tamina Snuka,1478.818586,140
855,Tensai,1478.67271,183
738,The Ripper,1478.31874,1
227,Eric Young,1478.294909,2
22,Raven,1478.008484,23
241,Shawn Daivari,1477.701701,1
125,Charles Schipporeit,1477.685116,1
113,C. G. Afi,1477.554399,1
865,Emil Sitoci,1477.448496,1
624,Cherry,1477.351385,14
568,Joey Blalock,1477.230093,2
356,Kid Kash,1477.175308,39
287,Miss Jackie,1477.13933,3
535,Wes Adams,1476.989683,2
312,Chet Jablonski,1476.707548,1
922,Chuck Lennox,1476.346561,1
142,Phil Brown,1476.293317,2
392,Bob Orton Jr.,1475.943832,4
756,Matthew Justice,1475.884688,2
217,W. T. Gates,1475.718202,1
619,Jason Riggs,1475.680921,2
658,Manu,1475.548877,12
434,Jason Jones,1475.343513,2
687,MVP,1474.859018,2
396,Jason Bates,1474.137197,2
540,Tony Jones,1473.999198,2
140,John Hennigan,1473.864359,2
336,Robbie Brookside,1473.610806,2
264,El Gran Luchadore,1473.435188,2
652,Ryan Braddock,1473.385402,5
571,Sterling James Keenan,1472.784797,2
20,Billy,1472.717815,20
346,Devon Nicholson,1472.702702,2
339,Rob Eckos,1472.438752,2
275,Mike Kruel,1472.236929,2
173,Jason Pacaro,1472.215033,2
323,Marty Jannetty,1472.179001,5
251,Chris Guy,1471.872009,2
606,Kofi Kingston,1471.742353,1032
477,John Williams,1471.427666,2
768,Jason Stone,1471.427062,2
609,David Owen,1471.370672,2
182,Sable,1471.336544,12
737,Luke Gallows,1471.183702,71
246,Matt Longtime,1471.164745,2
772,Husky Harris,1471.094805,18
519,Marty Garner,1470.817596,2
305,C. W. Anderson,1470.715905,2
526,Dave Taylor,1470.385229,8
574,Greg Cardona,1470.30196,3
660,Josh Daniels,1470.163246,2
452,Johnny,1469.962507,25
441,Jacques Plisken,1469.960734,2
705,Mike Williams,1469.6246,2
605,Steve Corino,1469.520638,2
253,Ken Phoenix,1469.137329,2
877,Zeb Colter,1469.127097,3
272,Murray Happer,1468.904083,2
662,Chase Stevens,1468.900815,2
124,B-2,1468.855717,3
757,Ryan Mitchell,1468.811548,3
299,Nick Synn,1468.785655,2
440,Octagoncito,1468.736307,4
881,Audrey Marie,1468.736307,2
279,Joy Giovanni,1468.634463,5
416,Taylor Phoenix,1468.555471,2
525,Sean Reynolds,1468.501061,2
839,Road Dogg,1468.461889,67
904,Damien Mizdow,1468.408612,76
533,Cassidy Reilly,1468.267857,2
880,Sasha Banks,1468.224112,16
469,Andy Boy Simmonz,1468.221846,4
547,Mike Edwards,1467.907414,2
735,Caylen Croft,1467.903365,22
107,Danny Gimondo,1467.833404,3
134,Bryan Danielson,1467.831628,2
152,Rhyno,1467.697167,102
237,Jared Steele,1467.660553,3
239,El Conquistador,1467.653349,2
882,Jake Carter,1467.529236,2
454,Nicky,1467.47939,18
552,Brian Major,1467.345327,17
295,Jeremy Young,1467.269948,2
240,Greg Groothius,1466.856485,2
726,Vance Archer,1466.85029,30
335,Romeo,1466.62628,17
363,Mo Sexton,1466.355835,2
551,Brett Major,1466.265507,17
382,Michael Patrick,1466.052221,2
523,Layla,1465.916959,322
96,Chuck Palumbo,1465.803289,109
349,Masato Tanaka,1465.166594,2
575,Jay Bradley,1464.960661,2
202,Gail Kim,1464.899201,132
71,Nick Dinsmore,1464.812232,2
422,Brad Allen,1464.747823,3
128,Keiji Sakoda,1464.568268,2
408,Joey Ryan,1464.441365,3
156,Steve Fendler,1464.24446,2
693,Chavo Guerrero Jr.,1463.958585,3
419,T. J. Dalton,1463.51506,4
130,Mike Wellington,1463.15049,3
191,Scoot Andrews,1462.935352,2
792,Abraham Washington,1460.567664,2
538,Brooke Adams,1460.557765,4
153,Matt Stryker,1460.357536,2
133,Xavier,1459.944642,5
149,Bobby Roode,1459.55978,3
274,John Walters,1459.542263,3
770,Lucky Cannon,1459.505272,28
493,Scott Wright,1459.469205,3
117,Michael Shane,1458.705942,3
388,Eddie Craven,1458.364825,3
187,Spanky,1457.811903,22
146,Eric Bischoff,1456.911517,14
384,Steve Madison,1456.821486,3
456,Ace Steel,1456.321604,3
484,The Sandman,1456.266106,36
116,A-Train,1455.918901,65
2,Ivory,1455.738908,24
654,Gavin Spears,1455.723536,3
553,Christian York,1455.222861,3
377,Chance Thompson,1454.984862,3
653,Scotty Goldman,1454.459758,5
100,Funaki,1454.292016,10
926,Joshua Kingsley,1454.138854,2
208,The Brooklyn Brawler,1453.772796,8
348,Rory Fox,1453.73739,3
38,William Regal,1452.95109,325
483,Tony Mamaluke,1452.800525,6
637,Bam Neely,1452.222442,11
785,Conor O'Brian,1451.393028,31
616,Lena Yada,1450.803337,6
689,Tyson Kidd,1450.784416,479
578,Silas Young,1450.381382,4
196,Billy Gunn,1449.764731,117
761,Jey Uso,1449.402539,744
